gender,age,resident,Marriage,Education,Employment,Income,Heathstatus,Chronic disease,whether had COVID-19,cognitiverisk,personalFear,misInformation,trust central Government,trust local Government,social fear,panic Buying,social support,trust health experts,trust health Authorities,trust medical Resource,trust health worker,Pandemic fatigue,cognitive dissonance
1,24,1,1,4,1,5,5,1,2,4,5,2,5,5,1.5,0,4,5,5,3.75,5,10,4
1,24,1,1,5,4,4,3,1,2,2,4,2,3,2,3.5,0,4,2,2,2,2,7.8,6.3
1,41,1,2,5,1,4,3,2,2,4,5,2,3,3,2.5,1,5,3,3,3.5,3,7.8,7.9
1,24,1,1,4,1,1,1,1,2,1,5,2,3,3,2.25,0,3,3,3,3,3,5.8,4.8
0,33,0,2,5,1,4,4,1,1,3,4,2,3,3,2.5,0,3,3,3,3,4,4,2
1,23,0,1,5,4,4,4,1,2,3,3,2,4,4,2.5,1,5,4,4,4,4,0,0
1,28,1,1,5,1,3,3,1,2,4,3,1,3,2,2,0,4,2,4,2,3,5,5
0,25,1,1,5,1,4,3,1,2,3,4,2,2,3,3,1,2,1,1,1.75,5,1.8,8.6
1,25,0,1,5,1,3,5,1,2,3,4,2,3,3,2.5,0,4,2,3,3.5,4,6.8,6.9
0,23,1,1,5,4,2,4,1,1,2,4,2,3,3,3,0,2,3,3,3,4,8.2,4.2
1,24,1,1,4,1,3,4,1,2,2,2,2,2,2,2.5,1,4,1,1,2,3,10,0
0,20,1,1,4,4,2,3,1,2,4,4,3,4,4,2,1,4,4,4,3,4,2,2
0,44,1,2,4,1,4,4,1,2,3,4,2,4,4,2.5,0,3,3,3,3,4,6,0
0,32,1,2,5,1,2,3,1,2,3,4,3,4,4,3.5,1,4,3,3,3,3,8.4,3.6
1,55,1,2,4,2,4,3,3,2,4,3,2,4,4,3,0,3,3,3,3,3,8,4.5
1,48,0,2,1,3,1,2,3,2,3,3,2,3,3,3.5,0,2,1,3,2.5,3,8.5,8.5
0,42,1,2,2,2,1,3,1,2,1,5,2,3,3,2,0,3,1,1,1,3,8.2,5.8
1,48,0,1,3,1,3,4,1,2,3,4,2,3,3,2.25,1,4,3,4,2.5,4,5.8,4.6
0,24,1,1,5,4,3,4,1,2,2,4,1,2,2,3,0,4,2,3,2.75,4,9.5,7.7
0,50,1,2,3,2,1,3,1,2,3,2,3,3,3,3,0,3,3,3,3,3,2.1,2.1
1,33,1,1,4,1,4,4,2,2,3,2,2,4,3,2,0,3,3,3,2.75,4,8.7,1.3
1,25,1,1,4,1,1,5,1,1,2,5,2,5,5,2.25,1,4,4,4,3,5,8.1,6
0,45,0,2,4,1,2,4,1,2,1,3,2,5,4,1.25,0,3,4,4,3.5,4,4.5,1.1
0,69,1,2,3,5,2,3,3,2,4,4,2,4,4,3,1,4,2,2,4,3,10,10
0,28,1,1,5,1,2,2,1,2,3,4,3,4,4,2.5,1,3,4,4,4,4,2,7.6
1,34,1,2,4,1,4,4,1,1,3,4,2,4,4,2.5,1,4,2,4,3.5,4,8.2,0
1,40,0,2,4,2,3,4,2,2,3,5,2,2,2,3.5,1,4,2,1,3.5,2,10,10
0,50,0,2,4,1,3,3,3,2,3,3,2,4,4,1,0,4,4,4,4.25,4,5.8,2.9
0,56,1,2,2,5,1,3,1,1,4,4,2,3,3,2.5,0,3,3,3,3,3,6.1,4
0,22,1,1,4,1,2,4,1,2,5,5,2,4,4,3.25,0,5,4,4,3.5,4,6.6,6
0,59,1,2,3,5,2,5,1,1,1,1,1,5,5,1,0,4,4,4,3,5,0,0
0,22,1,1,4,1,2,5,1,2,1,1,2,4,4,1,0,4,4,4,3.75,4,3.2,1.3
0,60,1,2,2,5,1,5,1,2,1,1,3,5,5,1,0,5,5,5,5,5,9,0
1,58,1,2,2,1,2,5,1,1,3,1,2,3,3,3,0,3,3,3,3,3,4,6.2
0,47,1,2,2,2,3,4,1,1,3,3,2,4,4,2.75,0,3,3,3,3,3,2.1,2
1,57,1,2,2,3,1,3,3,2,5,5,2,2,1,4.25,1,4,3,2,3.25,2,0,8
0,60,1,2,2,5,1,2,2,2,3,4,3,1,1,3,0,4,1,2,2,2,10,2.2
1,56,1,2,4,2,5,4,1,2,3,4,2,2,2,2.75,1,4,1,3,3.5,4,8.1,10
0,32,1,2,5,1,3,3,1,2,3,5,2,3,3,2,0,4,2,3,3.75,4,0,8.2
0,40,1,2,3,3,3,3,1,2,4,5,3,4,3,2.5,0,4,2,2,3,4,10,1.9
